ORGINAL TAG,TO CLUSTER,ORGINAL TAG,TO CLUSTER,ORGINAL TAG,TO CLUSTER,ORGINAL TAG,TO CLUSTER
Semantic,Semantic,Semantic,Semantic,Semantic,Semantic,Data,Data
semantic,,semantic,,semantic,,data,
Semantics,,Semantics,,,,DAta,
semantics,,semantic,semantic,,,Use,Use
ifcOWL,ifcOWL,Semantics,,,,use,
IFC-OWL,,,,,,JESS,JESS
IFCowl,,,,,,Jess,
IfcOWL,,,,,,Fire,Fire
semantic,semantic,,,,,fire,
Semantics,,,,,,Checking,Checking
semantics,,,,,,e-checking,
building,building,,,,,Open,Open
Building,,,,,,open,
Buildings,,,,,,Smart,Smart
ifcOWL,ifcOWL,,,,,smart,
IFCowl,,,,,,Model,Model
IfcOWL,,,,,,model,
spatial,spatial,,,,,Asset,Asset
Spatial,,,,,,asset,
ontology,ontology,,,,,Rule,Rule
Ontology,,,,,,rule,
Benchmark,Benchmark,,,,,Fault,Fault
benchmark,,,,,,fault,
damage,damage,,,,,Code,Code
damages,,,,,,code,
Business,Business,,,,,Fuzzy,Fuzzy
business,,,,,,fuzzy,
Semantics,Semantics,,,,,,
semantics,,,,,,,
Environmental,Environmental,,,,,,
environmental,,,,,,,
ifcOWL,ifcOWL,,,,,,
IfcOWL,,,,,,,
Integration,Integration,,,,,,
integration,,,,,,,
Metadata,Metadata,,,,,,
metadata,,,,,,,
Estonia,Estonia,,,,,,
Estonian,,,,,,,
Geodata,Geodata,,,,,,
geodata,,,,,,,
update,update,,,,,,
updates,,,,,,,
Construction,Construction,,,,,,
construction,,,,,,,
semantic,semantic,,,,,,
semantics,,,,,,,
Linked,Linked,,,,,,
linked,,,,,,,
Architecture,Architecture,,,,,,
architecture,,,,,,,
Lifecycle,Lifecycle,,,,,,
life-cycle,,,,,,,
Energy,Energy,,,,,,
energy,,,,,,,
Design,Design,,,,,,
design,,,,,,,
Domain,Domain,,,,,,
domain,,,,,,,
Geospatial,Geospatial,,,,,,
geospatial,,,,,,,
building,building,,,,,,
Buildings,,,,,,,
Knowledge,Knowledge,,,,,,
knowledge,,,,,,,
Safety,Safety,,,,,,
safety,,,,,,,
Context,Context,,,,,,
Contexts,,,,,,,
Product,Product,,,,,,
product,,,,,,,
Regulation,Regulation,,,,,,
Regulations,,,,,,,
Process,Process,,,,,,
process,,,,,,,
Materials,Materials,,,,,,
material,,,,,,,
Information,Information,,,,,,
information,,,,,,,
Geometry,Geometry,,,,,,
geometry,,,,,,,
Validation,Validation,,,,,,
validation,,,,,,,
Machine,Machine,,,,,,
machine,,,,,,,
SEUMTER,SEUMTER,,,,,,
Seumter,,,,,,,
Automated,Automated,,,,,,
automated,,,,,,,
Visual,Visual,,,,,,
visual,,,,,,,
MVDXML,MVDXML,,,,,,
mvdXML,,,,,,,
Interoperability,Interoperability,,,,,,
interoperability,,,,,,,
Compliance,Compliance,,,,,,
compliance,,,,,,,
Computer,Computer,,,,,,
computer,,,,,,,
Property,Property,,,,,,
property,,,,,,,
