Original Tags,After 3 levenstein op,after 1 fingerprint op
/unread,/unread,/unread
Building,building,building
Automated,Automated,Automated
ontology,ontology,ontology
Information,Information,Information
SNACC,SNACC,SNACC
Deep,Deep,Deep
Semantic,Semantic,Semantic
BOT,BOT,BOT
LBD,LBD,LBD
visual,Visual,Visual
VCCL,VCCL,VCCL
Visual,Visual,Visual
Visual,Visual,Visual
VPL,VPL,VPL
RCC-8,RCC-8,RCC-8
spatial,spatial,spatial
topological,topological,topological
International,International,International
SWRL,SWRL,SWRL
MVD,MVD,MVD
Semantic,Semantic,Semantic
ifcOWL,ifcOWL,ifcOWL
IfcView,IfcView,IfcView
Model,Model,Model
Reasoning,Reasoning,Reasoning
Rule,Rule,Rule
design,Design,Design
RASE,RASE,RASE
uncertainty,uncertainty,uncertainty
Design,Design,Design
Hazard,Hazard,Hazard
Knowledge,Knowledge,Knowledge
Occupational,Occupational,Occupational
Safety,Safety,Safety
BrickSchema,BrickSchema,BrickSchema
Building,building,building
Metadata,Metadata,Metadata
Schema,Schema,Schema
Smart,Smart,Smart
have,have,have
decentralized,decentralized,decentralized
Solid,Solid,Solid
Common,Common,Common
infrastructure,infrastructure,infrastructure
Digital,Digital,Digital
ASHVIN,ASHVIN,ASHVIN
Sustainable,Sustainable,Sustainable
Business,Business,Business
DALTON,DALTON,DALTON
DAta,DAta,Data
PLM,PLM,PLM
Protege,Protege,Protege
Requirements,Requirements,Requirements
Formalisation,Formalisation,Formalisation
Ontological,Ontological,Ontological
Semantic,Semantic,Semantic
information,Information,Information
NLP,NLP,NLP
country,country,country
Saudi,Saudi,Saudi
ACABIM,ACABIM,ACABIM
BPMN,BPMN,BPMN
CAP,CAP,CAP
Compliance,Compliance,Compliance
ISO16739,ISO16739,ISO16739
Legal,Legal,Legal
LegalDocML,LegalDocML,LegalDocML
LegalRuleML,LegalRuleML,LegalRuleML
LKM,LKM,LKM
New,New,New
Visual,Visual,Visual
Energy,Energy,Energy
Query,Query,Query
Estonia,Estonia,Estonia
Regulations,Regulation,Regulation
SBVR,SBVR,SBVR
SPARQL,SPARQL,SPARQL
handbook,handbook,handbook
Common,Common,Common
Information,Information,Information
ISO,ISO,ISO
Linked,Linked,Linked
OpenCDE-API,OpenCDE-API,OpenCDE-API
geometry,Geometry,Geometry
Level,Level,Level
Level,Level,Level
Level,Level,Level
ByggNett,ByggNett,ByggNett
Norway,Norway,Norway
Singapore,Singapore,Singapore
Statsbygg,Statsbygg,Statsbygg
fire,fire,Fire
Malaysia,Malaysia,Malaysia
GeoSPARQL,GeoSPARQL,GeoSPARQL
Prolog,Prolog,Prolog
Answer,Answer,Answer
ASP4BIM,ASP4BIM,ASP4BIM
back-jumping,back-jumping,back-jumping
conflict-driven,conflict-driven,conflict-driven
Declarative,Declarative,Declarative
easoner,easoner,easoner
lazy,lazy,lazy
logic-based,logic-based,logic-based
Performance-based,Performance-based,Performance-based
search,search,search
SHACL,SHACL,SHACL
spatial,spatial,spatial
spatial,spatial,spatial
Built,Built,Built
Concepts,Concepts,Concepts
Digital,Digital,Digital
Industry,Industry,Industry
Methodologies,Methodologies,Methodologies
